id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,year,magnitude_category
289,2003-01-13 02:45:00,Ravenswoud,52.971,6.413,3.0,1.7,,2003,1
290,2003-01-18 18:12:00,Ten Post,53.287,6.77,3.0,1.0,1.0,2003,1
291,2003-01-23 07:46:00,Garrelsweer,53.307,6.752,3.0,1.6,1.0,2003,1
292,2003-01-30 01:27:00,Leermens,53.342,6.793,3.0,1.5,1.0,2003,1
293,2003-01-31 15:20:00,Slochteren,53.232,6.782,3.0,0.3,1.0,2003,0
294,2003-02-02 09:32:00,Ekehaar,52.95,6.588,3.0,2.0,,2003,2
295,2003-02-06 19:25:00,Overschild,53.259,6.768,3.0,0.3,1.0,2003,0
296,2003-02-11 19:29:00,Zeerijp,53.352,6.773,3.0,1.3,1.0,2003,1
297,2003-02-12 06:22:00,Hellum,53.262,6.812,3.0,0.8,1.0,2003,0
298,2003-02-14 06:54:00,Boelenslaan,53.146,6.122,3.0,1.8,,2003,1
299,2003-02-28 21:54:00,Loppersum,53.355,6.73,3.0,0.7,1.0,2003,0
300,2003-03-03 20:51:00,Middelstum,53.36,6.662,3.0,2.2,1.0,2003,2
301,2003-03-06 20:15:00,Kiel-Windeweer,53.141,6.753,3.0,0.9,1.0,2003,0
302,2003-03-09 05:31:00,Kantens,53.372,6.64,3.0,1.1,1.0,2003,1
303,2003-03-23 16:00:00,Uithuizermeeden,53.457,6.783,3.0,1.5,1.0,2003,1
304,2003-03-29 21:09:00,Lageland,53.237,6.682,3.0,0.4,1.0,2003,0
